id,first_name,last_name,email,gender,prev_company,linkedin_profile,remote,locations,diversity_lgbtq,diversity_disabled,diversity_minority,sustainability_pref,layoff_time,interest_roles,role,summary,keywords,exp_years
11,Myrle,Rootham,mroothama@free.fr,Polygender,Allegro Development Corporation,https://www.linkedin.com/in/Myrle_Rootham,True,Birmingham,True,True,True,True,2022-07-07 20:50:20.608591,74;63,Sales Manager, Sales Manager with over 10 years of experience in the retail industry. Proven track record of success in driving sales and profit growth. Passionate about customer service and developing strong relationships with clients. Ability to lead and motivate a team to achieve sales goals and objectives. Experienced in managing multiple store locations.  Managed a team of 10 sales associates Developed and implemented sales strategies to drive sales and profit growth Maintained customer service standards and ensured a positive shopping experience for customers Resolved customer complaints and concerns in a timely and professional manner Collaborated with marketing and merchandising teams to develop and promote new products and services Attended trade shows and industry events to stay up-to-date on the latest trends and,sales;customer;profit;team;growth;service;experience;industry;teams;services;profit growth;customer service;merchandising teams;growth passionate;growth maintained;service standards;services attended;maintained customer;customers resolved;resolved customer,20
12,Cassaundra,Lydford,clydfordb@phpbb.com,Female,Talon Business Solutions,https://www.linkedin.com/in/Cassaundra_Lydford,True,Nottingham,False,False,True,False,2022-05-22 20:50:20.608591,189;89;347;261,Software Engineer," I am a software engineer with over 10 years of experience in the industry. I have a strong background in developing web applications and am well-versed in a variety of programming languages and frameworks. I have a passion for learning new technologies and am always up to date on the latest trends in the industry. In my previous roles, I have worked on a variety of projects ranging from small scale websites to large scale enterprise applications. I am a strong team player and am always willing to help out my colleagues. I am also a self-starter and am able to work independently on projects. I am looking for a challenging and rewarding role in a dynamic and collaborative team environment.",variety;industry;strong;applications;projects;scale;team;environment;software;engineer;team environment;strong background;strong team;software engineer;developing web;programming languages;latest trends;work independently;web applications;previous roles,10
13,Chelsae,Finker,cfinkerc@wikipedia.org,Female,StyleTech Solutions Ltd,https://www.linkedin.com/in/Chelsae_Finker,True,Brighton-Worthing-Littlehampton,True,False,True,False,2022-04-10 20:50:20.608591,181;295;341;43,System Designer," I am a system designer with over 10 years of experience in the field. I have a strong background in software development and system design, and have worked on a variety of projects in both the public and private sectors. I am highly motivated and have a proven track record of delivering high-quality results on time and within budget. I am also a strong team player and have excellent communication and interpersonal skills.",strong;system;skills;designer;years;experience;field;background;software;development;interpersonal skills;strong background;strong team;software development;private sectors;highly motivated;proven track;track record;delivering high;high quality,10
14,Nana,Cotterrill,ncotterrilld@miibeian.gov.cn,Female,Headforwards,https://www.linkedin.com/in/Nana_Cotterrill,True,Brighton-Worthing-Littlehampton,False,True,True,True,2022-09-30 20:50:20.608591,359;2;6,Web Developer," As a web developer with over 10 years of experience, I have a track record of successfully completing a variety of projects for a diverse range of clients. I am a self-starter who is able to work independently and as part of a team, and I have a strong understanding of both front-end and back-end development. In addition, I have excellent communication and interpersonal skills, and I am able to effectively manage my time and workload in order to meet deadlines. Overall, I am a dedicated and motivated professional who is committed to delivering high-quality work and providing exceptional customer service.",work;end;service;web;developer;years;experience;track;record;successfully;customer service;work independently;front end;back end;end development;quality work;web developer;track record;successfully completing;diverse range,10
15,Gillian,Harbertson,gharbertsone@parallels.com,Female,Atlas Computer Systems Ltd,https://www.linkedin.com/in/Gillian_Harbertson,True,Cardiff,True,True,False,False,2022-08-04 20:50:20.608591,144;288,Senior Manager IT," project manager with over 10 years of experience in project management, budgeting, and team leadership. Experienced IT project manager with over 10 years of experience in project management, budgeting, and team leadership. Proven track record of successfully managing large-scale projects from inception to completion. Adept at identifying and mitigating project risks, and developing effective communication and collaboration strategies with stakeholders.  Key skills and experience: -Strong leadership and communication skills -Proven ability to manage large-scale projects and budgets -Experience in team leadership and development -Ability to identify and mitigate project risks -Familiarity with project management methodologies, including Agile and Waterfall -Experience with software development lifecycle (SDLC)",project;experience;leadership;management;team;manager;years;budgeting;scale;large;team leadership;project management;management budgeting;large scale;project manager;scale projects;project risks;management methodologies;lifecycle sdlc;leadership experienced,20
16,Fabio,O'Cooney,focooneyf@domainmarket.com,Male,TIBCO Software Ltd,https://www.linkedin.com/in/Fabio_O'Cooney,True,Southampton/Portsmouth,True,True,True,False,2022-04-05 20:50:20.608591,85,Product Manager," I am a product manager with over 10 years of experience in the technology industry. I have a proven track record of successfully managing the development and launch of new products and features. I am an expert in product strategy, product development, and product marketing. I have a strong understanding of the technology industry and the latest trends in product development. I am a strong leader and a team player.",product;development;technology;industry;strong;player;manager;years;experience;proven;technology industry;product development;team player;strong understanding;strong leader;proven track;track record;successfully managing;latest trends;product manager,10
17,Elke,Gamett,egamettg@redcross.org,Female,"Iclouds  Oxford Web, App, Software Developers",https://www.linkedin.com/in/Elke_Gamett,True,West Yorkshire,False,False,True,True,2022-05-01 20:50:20.608591,349;108;340;155,Software Engineer," I am a software engineer with over 10 years of experience in the field. I have a strong background in developing web applications and have worked on a variety of projects for both large and small companies. I am well-versed in a variety of programming languages and have a strong understanding of software development best practices. In addition to my technical skills, I have excellent communication and interpersonal skills, which have allowed me to effectively collaborate with team members and stakeholders on various projects.",variety;strong;software;projects;skills;engineer;years;experience;field;background;strong background;strong understanding;developing web;web applications;small companies;programming languages;excellent communication;effectively collaborate;team members;software engineer,10
18,Moise,MacTerlagh,mmacterlaghh@trellian.com,Male,DataArt,https://www.linkedin.com/in/Moise_MacTerlagh,True,Manchester,False,True,True,True,2022-04-28 20:50:20.608591,246;257,Sales Manager, I am a sales manager with over 10 years of experience in the industry. I have a proven track record of success in leading sales teams to meet and exceed targets. I am a strategic thinker with a strong understanding of the sales process and how to effectively manage a team to achieve results. I am also a strong communicator with excellent interpersonal skills.,sales;strong;skills;teams;team;manager;years;experience;industry;proven;interpersonal skills;strong understanding;strong communicator;proven track;track record;exceed targets;strategic thinker;effectively manage;achieve results;excellent interpersonal,10
19,Butch,Ambrosoli,bambrosolii@hao123.com,Male,epiGenesys,https://www.linkedin.com/in/Butch_Ambrosoli,True,Edinburgh,True,True,True,False,2022-07-10 20:50:20.608591,270;163;381;129,Product Manager, Product Manager with over 5 years of experience in product development and product management. Proven track record of developing and launching successful products in the market. Expert in product development and product management processes. Possess strong leadership and communication skills.,product;development;management;skills;manager;years;experience;proven;track;record;product development;product management;communication skills;management proven;management processes;proven track;track record;launching successful;market expert;processes possess,5
20,Stephenie,Cooksley,scooksleyj@netlog.com,Female,ScienceSoft,https://www.linkedin.com/in/Stephenie_Cooksley,True,Cardiff,True,True,True,True,2022-05-01 20:50:20.608591,352,Sales Manager," Sales manager with over 10 years of experience in the retail industry. Proven track record of success in developing and implementing sales strategies, leading teams, and driving profitability. Expertise in customer relationship management and sales team development.  As a sales manager, I am responsible for leading a team of sales associates to meet and exceed sales goals. I develop and implement sales strategies, provide coaching and feedback to team members, and create a positive sales environment. I am also responsible for managing the sales budget and ensuring that the team is meeting profitability goals.  In my previous role, I was able to increase sales by 25% in just six months by developing and implementing a new sales strategy. I also led a team of 10 sales associates to meet",sales;team;associates;manager;developing;implementing;strategies;responsible;meet;leading;sales associates;sales manager;sales strategies;strategies provide;strategies leading;retail industry;industry proven;proven track;track record;customer relationship,20
21,Camellia,Kolakowski,ckolakowskik@nbcnews.com,Female,Company Dynamics Software,https://www.linkedin.com/in/Camellia_Kolakowski,False,Belfast,False,False,True,True,2022-05-17 20:50:20.608591,100;349,Machine Learning Engineer," I am a machine learning engineer with over 5 years of experience in the field. I have a strong background in developing and implementing machine learning algorithms, as well as experience in data mining and data analysis. I am also skilled in programming languages such as Python and R, and have worked with a variety of machine learning libraries such as scikit-learn and TensorFlow. In my previous roles, I have worked on a variety of projects involving natural language processing, image recognition, and recommendation systems. I am also proficient in cloud computing platforms such as Amazon Web Services and Google Cloud Platform.",machine;learning;variety;experience;worked;data;cloud;engineer;years;field;machine learning;learning engineer;implementing machine;learning algorithms;learning libraries;strong background;scikit learn;previous roles;projects involving;involving natural,5
22,Daisy,Breston,dbrestonl@addtoany.com,Female,Pocket App Ltd,https://www.linkedin.com/in/Daisy_Breston,True,Edinburgh,True,False,True,False,2022-07-13 20:50:20.608591,367;356;220;152,System Designer," System Designer with over 10 years of experience in the IT industry. Strong background in system design, analysis, and development. Expert in designing and implementing complex systems. Proven track record of delivering high-quality solutions on time and on budget.  Experience in designing and developing enterprise-wide systems, including financial, healthcare, and government systems.  Experience in designing and developing web-based and client/server systems.  Experience in designing and developing database systems, including relational and object-oriented databases.  Experience in designing and developing systems using Java, .NET, and other programming languages.  Experience in designing and developing systems using UML, Rational Rose, and other modeling tools.  Experience in designing",designing;experience;developing;systems;including;system;designer;years;industry;strong;systems experience;developing systems;systems including;designing;budget experience;languages experience;tools experience;developing enterprise;developing web;databases experience,10
23,Margi,Muddiman,mmuddimanm@china.com.cn,Female,Alpine Interactive,https://www.linkedin.com/in/Margi_Muddiman,False,Birmingham,False,False,False,False,2022-03-26 20:50:20.608591,330,Product Manager, Product Manager with over 10 years of experience in the IT industry. Strong track record of delivering successful products and solutions to the market. Expert in product development and product management processes. Ability to lead cross-functional teams and deliver results in a fast-paced environment.,product;environment;manager;years;experience;industry;strong;track;record;delivering;paced environment;industry strong;strong track;track record;delivering successful;market expert;management processes;processes ability;lead cross;cross functional,10
24,Modestine,Cotherill,mcotherilln@vistaprint.com,Female,Flaunt Software Development (UK) Limited,https://www.linkedin.com/in/Modestine_Cotherill,True,Leicester,False,True,True,True,2023-01-30 20:50:20.608591,290;292,Data Analyst," I am a data analyst with over 5 years of experience in the field. I have a strong background in data analysis and statistical modeling, and I am proficient in a variety of data analysis tools and programming languages. I have a proven track record of success in delivering high-quality results and providing valuable insights to drive business decisions.",data;analysis;decisions;analyst;years;experience;field;strong;background;statistical;data analysis;business decisions;analysis tools;strong background;statistical modeling;programming languages;proven track;track record;delivering high;high quality,5
25,Sissy,Lucchi,slucchio@photobucket.com,Female,Box UK Ltd,https://www.linkedin.com/in/Sissy_Lucchi,True,Belfast,False,True,False,True,2022-02-20 20:50:20.608591,295;22;292;241,Software Engineer," I am a software engineer with over 10 years of experience in the industry. I have a strong background in developing web applications using Java and Python. I am also familiar with software engineering best practices such as code reviews, unit testing, and continuous integration. In my previous roles, I have worked on projects for clients in the financial services and healthcare industries. I am currently looking for a new opportunity where I can use my skills and experience to contribute to the success of a team.",software;experience;team;engineer;years;industry;strong;background;developing;web;strong background;developing web;web applications;code reviews;reviews unit;unit testing;continuous integration;previous roles;financial services;healthcare industries,10
26,Mendel,Fallow,mfallowp@hubpages.com,Male,Geeks,https://www.linkedin.com/in/Mendel_Fallow,True,Brighton-Worthing-Littlehampton,False,True,False,True,2022-06-19 20:50:20.608591,297;315,System Designer, System Designer with over 10 years of experience in the IT industry. Expert in designing and implementing complex systems and solutions. Proven track record of delivering successful projects on time and within budget.  Strong knowledge of system design methodologies and best practices. Experience with a variety of development tools and programming languages. Ability to work effectively in a team environment. Excellent communication and interpersonal skills.  Senior System Designer with over 10 years of experience in the IT industry. Expert in designing and implementing complex systems and solutions. Proven track record of delivering successful projects on time and within budget.  Strong knowledge of system design methodologies and best practices. Experience with a variety of development tools and programming languages. Ability to work effectively,experience;system;designer;years;industry;expert;designing;implementing;complex;solutions;practices experience;industry expert;implementing complex;solutions proven;proven track;track record;delivering successful;successful projects;budget strong;strong knowledge,20
27,Hunt,Jeroch,hjerochq@wp.com,Male,Liquid Modules Ltd,https://www.linkedin.com/in/Hunt_Jeroch,False,Edinburgh,True,False,True,True,2022-03-28 20:50:20.608591,289;130;349;29,System Designer," I am a system designer with over 10 years of experience in the field. I have a strong background in system design and analysis, as well as in software development and testing. I am also skilled in project management and team leadership. I have a proven track record of delivering complex systems on time and on budget.",budget;system;designer;years;experience;field;strong;background;design;analysis;strong background;software development;project management;team leadership;proven track;track record;delivering complex;system designer;system design;complex systems,10
28,Cristine,Lacroutz,clacroutzr@goo.gl,Female,The Distance | App Developers,https://www.linkedin.com/in/Cristine_Lacroutz,True,Newcastle upon Tyne,False,False,True,False,2022-11-12 20:50:20.608591,220;367;386,Data Scientist," I am a data scientist with a passion for understanding complex systems and using data to solve problems. I have experience working with a variety of data sources and tools, including SQL, R, and Python. I am also skilled in data visualization and machine learning techniques. In my previous role, I used data analysis to identify trends and improve business processes. I am currently looking for a new opportunity to use my skills and experience to make a positive impact on an organization.",data;experience;organization;scientist;passion;understanding;complex;systems;solve;problems;understanding complex;complex systems;solve problems;tools including;including sql;machine learning;learning techniques;previous role;identify trends;improve business,7
29,Menard,Gallaway,mgallaways@comcast.net,Male,8th Light,https://www.linkedin.com/in/Menard_Gallaway,True,Manchester,False,True,True,True,2022-04-04 20:50:20.608591,281;281,Senior Manager IT," professional with over 12 years of experience in the it industry. expertise in leading and managing large-scale it projects, including system design, development, and implementation. extensive experience in business analysis, requirements gathering, and project management. proven track record of delivering complex it projects on time and within budget. strong interpersonal and communication skills, with the ability to effectively collaborate with cross-functional teams and build strong relationships with clients. experience in working with a variety of it platforms and applications, including microsoft office, sql server, and oracle. excellent problem-solving and decision-making skills, with the ability to think critically and adapt to changing priorities. committed to continuous professional development and staying up",experience;ability;development;skills;projects;professional;including;strong;project;years;extensive experience;clients experience;professional development;projects including;design development;communication skills;making skills;project management;including system;budget strong,12
30,Tiphany,Johnes,tjohnest@nifty.com,Non-binary,Allegro Development Corporation,https://www.linkedin.com/in/Tiphany_Johnes,True,Liverpool,True,False,False,True,2022-10-23 20:50:20.608591,19;324;226,Machine Learning Engineer," I am a machine learning engineer with over 5 years of experience in the field. I have a strong background in data science and machine learning, and have worked on a variety of projects in both academic and industry settings. I am highly skilled in developing and implementing machine learning algorithms, and have a deep understanding of the underlying mathematics and statistics. I am also proficient in programming languages such as Python and R, and have experience with a variety of data analysis and visualization tools.  In my previous roles, I have worked on a variety of machine learning projects, including developing predictive models for fraud detection, recommendation systems, and image classification. I have also worked on natural language processing tasks, such as sentiment analysis and text classification.  I am",machine;learning;variety;worked;analysis;classification;experience;data;projects;developing;machine learning;learning engineer;implementing machine;learning algorithms;learning projects;image classification;sentiment analysis;text classification;data analysis;strong background,5
31,Sile,Gut,sgutu@scientificamerican.com,Female,CodeFirst,https://www.linkedin.com/in/Sile_Gut,True,Leicester,False,False,True,False,2022-09-13 20:50:20.608591,97,Software Engineer," I am a software engineer with over 10 years of experience in the field. I have a strong background in developing web applications, and have worked on a variety of projects ranging from small startups to large corporations. I am passionate about technology and enjoy learning new skills and staying up to date with the latest trends.",trends;software;engineer;years;experience;field;strong;background;developing;web;latest trends;software engineer;strong background;developing web;web applications;projects ranging;small startups;large corporations;enjoy learning;trends,10
32,Raoul,Mapston,rmapstonv@unesco.org,Male,Chelsea Apps Factory,https://www.linkedin.com/in/Raoul_Mapston,True,Birmingham,False,False,True,True,2022-02-15 20:50:20.608591,203,Product Manager," Product Manager with over 6 years of experience in developing and executing product vision, strategy, and roadmap. Expert in leading cross-functional teams to deliver innovative products that meet customer needs and drive business growth.  Strong track record of successfully launching new products and features, managing product development lifecycle, and driving product marketing and sales efforts.  Proven ability to develop and maintain strong relationships with customers, partners, and internal stakeholders.  Results-oriented with a focus on continuous improvement and driving product and business success.  Product Manager with over 6 years of experience in developing and executing product vision, strategy, and roadmap. Expert in leading cross-functional teams to deliver innovative products that meet customer needs and drive business growth.  ",product;business;products;manager;years;experience;developing;executing;vision;strategy;vision strategy;roadmap expert;leading cross;cross functional;functional teams;deliver innovative;meet customer;drive business;product manager;executing product,12
33,Jonas,Goward,jgowardw@pinterest.com,Male,King Creation Ltd,https://www.linkedin.com/in/Jonas_Goward,True,Edinburgh,False,False,False,True,2022-02-24 20:50:20.608591,278;118,Data Analyst," I am a data analyst with over 10 years of experience in the field. I have a strong background in data analysis, data modeling, and data management. I am also proficient in using a variety of data analysis tools, including SQL, R, and Python. In my previous roles, I have worked with large datasets and have used my skills to provide insights and recommendations to improve business performance. I am also comfortable working with a variety of data sources, including databases, files, and web services.",data;variety;analysis;including;services;analyst;years;experience;field;strong;data analysis;web services;analysis tools;strong background;previous roles;large datasets;provide insights;improve business;business performance;comfortable working,10
34,Timofei,Gatfield,tgatfieldx@slideshare.net,Male,"Eastpoint Web, Mobile and Software Development",https://www.linkedin.com/in/Timofei_Gatfield,True,West Yorkshire,True,True,False,True,2022-06-08 20:50:20.608591,150;74;302;343,Product Manager, Product Manager with over 5 years of experience in the software industry. Proven track record of driving product development from concept to launch. Passionate about delivering innovative solutions that meet the needs of customers. Experience in Agile development methodologies. Solid understanding of the software development lifecycle. Ability to work effectively with cross-functional teams. Strong leadership and communication skills.,development;experience;software;product;skills;manager;years;industry;proven;track;communication skills;software industry;customers experience;industry proven;proven track;track record;launch passionate;delivering innovative;innovative solutions;methodologies solid,5
35,Leanor,Speedin,lspeediny@g.co,Female,Red C Mobile App Development,https://www.linkedin.com/in/Leanor_Speedin,False,Sheffield,False,True,True,True,2022-07-16 20:50:20.608591,330;158;281,Sales Manager," Sales Manager with over 10 years of experience in the industry. Expert in market research and analysis, product development, and sales strategy. Proven track record of exceeding sales goals and increasing market share.  Responsible for the development and implementation of sales strategies and initiatives to maximize sales growth and profitability.  Establish and maintain strong relationships with key customers and industry partners to drive sales and business development.  Analyze and evaluate market trends and competitor activity to develop and implement effective sales strategies.  Prepare and deliver sales presentations and proposals to potential and existing customers.  Collaborate with marketing and product development teams to develop and launch new products and services.  Attend trade shows and industry events to promote company",sales;development;industry;market;develop;product;strategies;customers;products;company;product development;sales strategies;business development;development analyze;development teams;industry expert;analysis product;industry partners;industry events;strategies prepare,10
36,Casey,Stollwerck,cstollwerckz@lycos.com,Female,The Distance | App Developers,https://www.linkedin.com/in/Casey_Stollwerck,True,Birmingham,False,True,False,True,2022-09-07 20:50:20.608591,266,Data Scientist," I am a data scientist with a passion for machine learning and statistical modeling. I have a strong background in mathematics and computer science, and I am highly skilled in data analysis, data mining, and data visualization. I have a proven track record of success in solving complex problems and delivering valuable insights to drive business decisions.",data;decisions;scientist;passion;machine;learning;statistical;modeling;strong;background;business decisions;machine learning;statistical modeling;strong background;computer science;highly skilled;proven track;track record;solving complex;complex problems,7
37,Poul,Vango,pvango10@oaic.gov.au,Male,Micro Focus,https://www.linkedin.com/in/Poul_Vango,True,Southampton/Portsmouth,False,False,True,True,2022-02-22 20:50:20.608591,260;79,System Designer," I am a system designer with over 10 years of experience in the field. I have a strong background in system design, requirements gathering, and project management. I am able to work effectively with both technical and non-technical stakeholders to ensure the successful delivery of projects. I am also a strong team player, with excellent communication and interpersonal skills.",strong;system;technical;skills;designer;years;experience;field;background;design;interpersonal skills;strong background;strong team;design requirements;requirements gathering;work effectively;successful delivery;team player;excellent communication;system designer,10
38,Laurens,Zanotti,lzanotti11@wufoo.com,Male,Hallnet Ltd,https://www.linkedin.com/in/Laurens_Zanotti,True,Birmingham,True,False,False,True,2022-10-16 20:50:20.608591,286;213;186;104,Web Developer," As a web developer with over 5 years of experience, I have a strong understanding of both front-end and back-end development. I am highly proficient in HTML, CSS, JavaScript, and PHP, and have worked with a variety of content management systems, including WordPress, Drupal, and Joomla. In addition to my development skills, I have a strong background in project management and have successfully led several web development projects from start to finish.",development;strong;web;end;management;finish;developer;years;experience;understanding;strong understanding;strong background;highly proficient;html css;css javascript;systems including;including wordpress;wordpress drupal;successfully led;web developer,5
39,Garfield,Ashbee,gashbee12@storify.com,Male,Allegro Development Corporation,https://www.linkedin.com/in/Garfield_Ashbee,True,Newcastle upon Tyne,False,False,True,True,2022-10-23 20:50:20.608591,201;243,Senior Software Engineer," with 8+ years of experience in developing applications Looking for a senior software engineer position where I can utilize my 8+ years of experience in developing applications. I have a strong background in Java, Python, and C++, and have worked on a variety of projects in both the healthcare and financial sectors. In my previous roles, I have led teams of developers, and have been responsible for the development and delivery of multiple high-quality software products.",experience;developing;years;applications;software;products;senior;engineer;position;utilize;developing applications;software products;engineer position;strong background;java python;financial sectors;previous roles;led teams;multiple high;high quality,5
40,Sutton,Kasperski,skasperski13@sitemeter.com,Male,Terrabase Ltd,https://www.linkedin.com/in/Sutton_Kasperski,True,Leicester,True,False,False,True,2022-04-07 20:50:20.608591,167;351,Data Analyst," I am a data analyst with over 5 years of experience in the field. I have a strong background in statistical analysis and data mining, and I am skilled in using a variety of software tools and techniques to analyze and interpret data. I am also experienced in creating visualizations and reports to communicate findings and insights to stakeholders.",data;stakeholders;analyst;years;experience;field;strong;background;statistical;analysis;strong background;statistical analysis;software tools;creating visualizations;communicate findings;data analyst;data mining;interpret data;data;stakeholders,5
